shipment_id,order_id,warehouse_id,shipment_partner,ship_date,expected_delivery_date,actual_delivery_date,is_delayed,transit_days,destination_region,shipment_status,vehicle_type,delay_days,delay_severity
1,2,3,Ekart,2022-12-01,2022-12-07,2022-12-05,0,4,West,Delivered,Air,0,On Time
2,3,10,Ekart,2024-05-03,2024-05-09,2024-05-12,0,9,West,Delivered,Van,3,Minor Delay
3,4,5,BlueDart,2024-01-18,2024-01-25,2024-01-31,1,13,North,Delivered,Truck,6,Moderate Delay
4,6,10,DTDC,2024-03-31,2024-04-10,2024-04-11,0,11,West,Delivered,Air,1,Minor Delay
5,7,7,Ekart,2022-04-04,2022-04-08,2022-04-15,1,11,East,Delivered,Truck,7,Moderate Delay
6,8,4,Ekart,2024-10-31,2024-11-10,2024-11-07,0,7,West,Delivered,Rail,0,On Time
7,9,8,DHL,2022-11-16,2022-11-21,2022-11-26,1,10,Central,Delivered,Van,5,Moderate Delay
8,10,7,DHL,2024-04-24,2024-04-27,2024-04-30,0,6,South,Delivered,Air,3,Minor Delay
9,12,3,Delhivery,2023-01-10,2023-01-14,2023-01-18,0,8,East,Delivered,Truck,4,Moderate Delay
10,13,3,Delhivery,2024-03-19,2024-03-29,2024-03-26,0,7,West,Delivered,Air,0,On Time
11,15,2,BlueDart,2024-01-22,2024-01-31,2024-02-06,1,15,West,Delivered,Rail,6,Moderate Delay
12,16,10,BlueDart,2024-02-29,2024-03-09,2024-03-12,0,12,North,Delivered,Rail,3,Minor Delay
13,17,8,DHL,2023-03-29,2023-04-01,2023-04-02,0,4,North,Delivered,Rail,1,Minor Delay
14,18,2,Ekart,2023-09-20,2023-09-30,2023-09-25,0,5,North,Delivered,Van,0,On Time
15,19,3,DHL,2023-04-15,2023-04-18,2023-04-19,0,4,West,Delivered,Truck,1,Minor Delay
16,21,8,DHL,2024-06-10,2024-06-20,2024-06-15,0,5,South,Delivered,Van,0,On Time
17,22,10,FedEx,2023-12-21,2023-12-26,2023-12-27,0,6,North,Delivered,Truck,1,Minor Delay
18,23,2,DHL,2022-01-08,2022-01-16,2022-01-17,0,9,Central,Delivered,Air,1,Minor Delay
19,24,4,Delhivery,2024-06-18,2024-06-23,2024-06-22,0,4,West,Delivered,Van,0,On Time
20,26,10,Delhivery,2024-02-23,2024-02-26,2024-02-26,0,3,North,Delivered,Air,0,On Time
21,27,2,FedEx,2022-02-07,2022-02-11,2022-02-14,0,7,South,Delivered,Air,3,Minor Delay
22,31,1,DTDC,2022-11-12,2022-11-19,2022-11-28,1,16,East,Delivered,Van,9,Severe Delay
23,32,9,DHL,2023-10-07,2023-10-13,2023-10-15,0,8,South,Delivered,Air,2,Minor Delay
24,33,8,DHL,2024-05-18,2024-05-25,2024-05-24,0,6,North,Delivered,Rail,0,On Time
25,35,8,DTDC,2024-02-06,2024-02-14,2024-02-17,0,11,East,Delivered,Rail,3,Minor Delay
26,36,8,FedEx,2024-07-20,2024-07-29,2024-07-28,0,8,West,Delivered,Truck,0,On Time
27,37,6,FedEx,2024-07-15,2024-07-21,2024-07-19,0,4,West,Delivered,Truck,0,On Time
28,38,3,Ekart,2024-12-22,2024-12-27,2025-01-03,0,12,West,Delivered,Rail,7,Moderate Delay
29,39,10,DHL,2022-09-15,2022-09-19,2022-09-26,0,11,South,Delivered,Rail,7,Moderate Delay
30,41,6,Ekart,2024-03-19,2024-03-26,2024-03-26,0,7,South,Delivered,Rail,0,On Time
31,42,9,DTDC,2023-02-28,2023-03-10,2023-03-04,0,4,Central,Delivered,Rail,0,On Time
32,44,7,DHL,2022-08-15,2022-08-20,2022-08-22,0,7,North,Delivered,Rail,2,Minor Delay
33,47,10,FedEx,2023-10-12,2023-10-21,2023-10-18,0,6,East,Delivered,Rail,0,On Time
34,48,3,FedEx,2023-07-28,2023-08-02,2023-08-03,0,6,East,Delivered,Rail,1,Minor Delay
35,49,3,BlueDart,2022-07-30,2022-08-04,2022-08-04,0,5,East,Delivered,Van,0,On Time
36,50,10,DHL,2024-05-10,2024-05-17,2024-05-15,0,5,North,Delivered,Rail,0,On Time
37,52,8,Ekart,2023-01-03,2023-01-06,2023-01-15,0,12,East,Delivered,Truck,9,Severe Delay
38,53,3,Delhivery,2024-04-27,2024-05-03,2024-05-14,1,17,East,Delivered,Van,11,Severe Delay
39,54,10,Ekart,2024-10-23,2024-10-29,2024-10-28,0,5,West,Delivered,Air,0,On Time
40,55,4,DHL,2024-08-29,2024-09-08,2024-09-07,0,9,West,Delivered,Rail,0,On Time
41,56,6,DTDC,2022-09-07,2022-09-14,2022-09-14,0,7,West,Delivered,Van,0,On Time
42,57,5,DTDC,2024-08-19,2024-08-25,2024-08-22,0,3,Central,Delivered,Rail,0,On Time
43,58,4,Delhivery,2023-03-11,2023-03-16,2023-03-28,1,17,South,Delivered,Truck,12,Severe Delay
44,59,1,DHL,2024-01-02,2024-01-11,2024-01-07,0,5,South,Delivered,Air,0,On Time
45,60,5,DTDC,2022-08-12,2022-08-21,2022-08-22,0,10,East,Delivered,Truck,1,Minor Delay
46,62,8,FedEx,2022-04-16,2022-04-26,2022-04-25,0,9,Central,Delivered,Van,0,On Time
47,63,4,Delhivery,2024-11-09,2024-11-14,2024-11-16,0,7,Central,Delivered,Truck,2,Minor Delay
