po_id,supplier_id,warehouse_id,order_date,expected_delivery_date,actual_delivery_date,status,is_delayed,total_amount,payment_terms
1,31,2,2023-05-09,2023-05-19,2023-05-20,Delivered,0,2813315.43,Net60
2,55,4,2023-04-08,2023-04-15,2023-04-14,Delivered,0,10416.8,Immediate
3,67,9,2024-02-16,2024-03-05,2024-03-04,Delivered,0,1252454.94,Immediate
4,44,8,2023-11-10,2023-11-24,2023-11-23,Delivered,0,1477200.6,Net60
5,16,5,2024-08-31,2024-09-11,2024-09-12,Delivered,0,3715513.52,Net30
6,21,7,2023-03-01,2023-03-13,2023-03-15,Delivered,0,53726.87,Immediate
7,26,4,2023-11-11,2023-11-27,2023-11-26,Delivered,0,4542042.13,Net60
8,17,5,2022-06-05,2022-06-16,2022-06-18,Delivered,0,10077807.31,Immediate
9,76,3,2024-10-01,2024-10-13,2024-10-15,Delivered,0,21810984.23,Net90
10,64,4,2023-05-20,2023-07-10,2023-07-10,Delivered,0,1730959.23,Net30
11,28,1,2023-09-24,2023-10-08,2023-10-07,Delivered,0,981597.3,Immediate
12,7,5,2022-07-31,2022-08-12,2022-08-24,Delivered,1,4173150.46,Net30
13,37,10,2023-05-13,2023-06-23,2023-06-30,Delivered,1,171885.36,Immediate
14,39,4,2023-07-20,2023-08-06,2023-08-05,Delivered,0,9445633.24,Immediate
15,67,2,2023-02-05,2023-02-25,2023-02-28,Delivered,1,2419108.49,Net90
16,71,5,2024-06-20,2024-06-25,2024-06-25,Delivered,0,4946573.74,Immediate
17,16,4,2023-10-16,2023-10-28,2023-10-30,Delivered,0,752115.75,Net90
18,69,10,2024-03-15,2024-03-27,2024-03-27,Delivered,0,6423026.52,Immediate
19,40,3,2023-03-06,2023-04-21,2023-04-23,Delivered,0,122399.94,Net60
20,4,7,2023-06-02,2023-06-19,2023-06-21,Delivered,0,877989.38,Immediate
21,31,3,2022-03-17,2022-04-03,2022-04-02,Delivered,0,617436.83,Net90
22,50,8,2022-12-07,2022-12-30,2023-01-12,Delivered,1,1966229.94,Net30
23,54,5,2022-01-22,2022-02-22,2022-02-22,Delivered,0,35204947.74,Net60
24,70,9,2023-12-08,2023-12-27,2023-12-28,Delivered,0,63986.16,Net60
25,37,7,2023-12-15,2024-01-01,2024-01-11,Delivered,1,146651.04,Immediate
26,32,1,2023-10-16,2023-11-22,2023-11-30,Delivered,1,173053.81,Net60
27,77,7,2022-11-24,2022-12-07,2022-12-09,Delivered,0,2513096.12,Immediate
28,56,10,2024-03-21,2024-03-27,2024-03-27,Delivered,0,3710883.95,Net60
29,39,3,2023-07-25,2023-08-16,2023-08-15,Delivered,0,1361753.88,Net30
30,57,1,2023-06-22,2023-07-04,2023-07-05,Delivered,0,570806.06,Immediate
31,47,3,2022-12-20,2023-01-25,2023-02-06,Delivered,1,1674614.6,Net60
32,21,2,2023-09-18,2023-09-25,2023-09-25,Delivered,0,3086734.28,Immediate
33,32,8,2023-01-16,2023-02-13,2023-02-13,Delivered,0,89916.99,Immediate
34,27,6,2022-04-20,2022-05-26,2022-05-26,Delivered,0,39579756.93,Immediate
35,4,8,2024-05-01,2024-05-18,2024-05-18,Delivered,0,47632.32,Net60
36,52,3,2023-08-22,2023-08-30,2023-08-31,Delivered,0,2605272.45,Immediate
37,6,2,2024-11-12,2024-11-25,2024-12-10,Delivered,1,1154964.03,Net30
38,59,1,2024-06-22,2024-07-20,2024-08-02,Delivered,1,341024.26,Net90
39,61,9,2023-12-15,2024-01-02,2024-01-06,Delivered,1,449766.24,Net90
40,46,3,2024-05-26,2024-06-05,2024-06-05,Delivered,0,461381.04,Net90
41,45,4,2024-12-26,2025-01-09,,Pending,0,3242619.35,Net30
42,50,10,2022-10-05,2022-11-03,2022-11-02,Delivered,0,70276434.48,Net60
43,10,2,2023-05-27,2023-06-06,2023-06-06,Delivered,0,3210230.95,Net90
44,65,10,2024-04-28,2024-05-11,2024-05-26,Delivered,1,897227.1,Net90
45,45,1,2024-01-26,2024-02-11,2024-02-10,Delivered,0,356865.6,Immediate
46,72,1,2024-01-04,2024-01-17,2024-01-19,Delivered,0,1540747.48,Net90
47,16,3,2023-08-04,2023-08-16,2023-08-18,Delivered,0,45168.05,Net30
48,42,6,2024-07-30,2024-08-15,2024-08-25,Delivered,1,3549736.79,Net90
49,66,5,2022-11-22,2022-12-01,2022-11-30,Delivered,0,499063.82,Net60
50,35,5,2022-04-17,2022-04-28,2022-04-28,Delivered,0,2239883.8,Net30
51,7,6,2022-01-03,2022-02-03,2022-02-05,Delivered,0,1109474.47,Immediate
52,5,5,2022-09-28,2022-10-12,2022-10-11,Delivered,0,2164176.65,Net90
53,34,6,2024-01-23,2024-02-18,2024-03-04,Delivered,1,658520.2,Net60
54,23,2,2022-05-21,2022-06-09,2022-06-22,Delivered,1,273739.92,Net60
55,78,8,2024-04-23,2024-05-15,2024-05-19,Delivered,1,245116.61,Immediate
56,4,6,2023-12-21,2024-01-11,2024-01-11,Delivered,0,284088.0,Net90
57,4,6,2022-02-24,2022-03-15,2022-03-16,Delivered,0,1361768.14,Net30
58,40,7,2023-05-06,2023-06-18,2023-06-17,Delivered,0,767103.84,Immediate
59,2,1,2024-01-19,2024-02-10,2024-02-20,Delivered,1,114749.56,Net30
60,71,7,2022-01-29,2022-02-02,2022-02-05,Delivered,1,2472976.9,Immediate
61,17,9,2024-05-17,2024-06-02,2024-06-02,Delivered,0,3261398.93,Net60
62,21,1,2022-11-15,2022-11-26,2022-11-25,Delivered,0,4440900.03,Net60
63,19,9,2022-06-26,2022-07-08,2022-07-07,Delivered,0,27474.72,Net60
64,51,5,2022-01-24,2022-02-06,2022-02-07,Delivered,0,426975.17,Net90
65,76,4,2022-08-30,2022-09-19,2022-10-04,Delivered,1,10496931.82,Net30
66,6,8,2024-10-13,2024-11-01,2024-11-03,Delivered,0,276631.89,Net90
67,68,7,2022-07-30,2022-08-10,2022-08-09,Delivered,0,11208450.65,Net60
68,23,2,2022-04-05,2022-04-23,2022-04-23,Delivered,0,1109114.16,Immediate
69,67,9,2023-04-05,2023-04-22,2023-04-23,Delivered,0,630821.7,Net90
70,28,4,2022-09-02,2022-09-17,2022-09-17,Delivered,0,508188.83,Net90
71,21,10,2023-09-29,2023-10-08,2023-10-07,Delivered,0,1591994.83,Net60
