order_id,customer_id,product_id,warehouse_id,order_date,quantity,unit_price,total_amount,status,region
1,111,5,7,2023-11-03,93,430.59,40044.87,Processing,East
2,558,17,3,2022-11-30,19,70.77,1344.63,Delivered,West
3,430,2,10,2024-05-01,151,107.9,16292.9,Delivered,West
4,434,2,5,2024-01-16,18,107.63,1937.34,Delivered,North
5,308,37,5,2023-07-23,35,233.32,8166.2,Processing,North
6,554,29,10,2024-03-28,114,1620.11,184692.54,Delivered,West
7,67,20,7,2022-04-01,155,17.4,2697.0,Delivered,East
8,299,5,4,2024-10-28,201,449.72,90393.72,Delivered,West
9,96,52,8,2022-11-14,189,440.34,83224.26,Delivered,Central
10,447,22,7,2024-04-23,109,102.87,11212.83,Delivered,South
11,7,18,5,2022-03-30,147,83.76,12312.72,Processing,West
12,411,4,3,2023-01-08,28,235.8,6602.4,Delivered,East
13,30,53,3,2024-03-17,121,860.14,104076.94,Delivered,West
14,81,37,1,2022-07-13,146,226.05,33003.3,Cancelled,Central
15,563,60,2,2024-01-20,154,421.76,64951.04,Delivered,West
16,43,30,10,2024-02-26,169,3196.99,540291.31,Delivered,North
17,84,8,8,2023-03-28,106,93.96,9959.76,Delivered,North
18,524,18,2,2023-09-18,66,79.28,5232.48,Delivered,North
19,395,1,3,2023-04-14,85,414.95,35270.75,Delivered,West
20,307,12,2,2024-08-11,85,152.97,13002.45,Processing,Central
21,314,32,8,2024-06-08,26,1021.78,26566.28,Delivered,South
22,18,15,10,2023-12-19,244,62.03,15135.32,Delivered,North
23,398,4,2,2022-01-07,91,237.85,21644.35,Delivered,Central
24,373,18,4,2024-06-17,119,81.13,9654.47,Delivered,West
25,593,2,1,2022-06-05,149,104.28,15537.72,Cancelled,West
26,316,63,10,2024-02-20,69,39225.96,2706591.24,Delivered,North
27,455,20,2,2022-02-04,125,19.13,2391.25,Delivered,South
28,244,28,3,2024-10-16,264,4030.44,1064036.16,Cancelled,Central
29,153,16,7,2024-10-13,53,89.22,4728.66,Processing,West
30,371,39,3,2024-05-25,159,133.23,21183.57,Processing,North
31,432,4,1,2022-11-09,117,261.08,30546.36,Delivered,East
32,587,4,9,2023-10-06,261,247.62,64628.82,Delivered,South
33,508,1,8,2024-05-17,87,428.43,37273.41,Delivered,North
34,26,44,5,2022-02-16,121,127.64,15444.44,Processing,East
35,116,7,8,2024-02-05,133,579.85,77120.05,Delivered,East
