shipment_id,order_id,warehouse_id,shipment_partner,ship_date,expected_delivery_date,actual_delivery_date,is_delayed,transit_days,destination_region,shipment_status,vehicle_type
1,2,3,Ekart,2022-12-01,2022-12-07,2022-12-05,0,4,West,Delivered,Air
2,3,10,Ekart,2024-05-03,2024-05-09,2024-05-12,0,9,West,Delivered,Van
3,4,5,BlueDart,2024-01-18,2024-01-25,2024-01-31,1,13,North,Delivered,Truck
4,6,10,DTDC,2024-03-31,2024-04-10,2024-04-11,0,11,West,Delivered,Air
5,7,7,Ekart,2022-04-04,2022-04-08,2022-04-15,1,11,East,Delivered,Truck
6,8,4,Ekart,2024-10-31,2024-11-10,2024-11-07,0,7,West,Delivered,Rail
7,9,8,DHL,2022-11-16,2022-11-21,2022-11-26,1,10,Central,Delivered,Van
8,10,7,DHL,2024-04-24,2024-04-27,2024-04-30,0,6,South,Delivered,Air
9,12,3,Delhivery,2023-01-10,2023-01-14,2023-01-18,0,8,East,Delivered,Truck
10,13,3,Delhivery,2024-03-19,2024-03-29,2024-03-26,0,7,West,Delivered,Air
11,15,2,BlueDart,2024-01-22,2024-01-31,2024-02-06,1,15,West,Delivered,Rail
12,16,10,BlueDart,2024-02-29,2024-03-09,2024-03-12,0,12,North,Delivered,Rail
13,17,8,DHL,2023-03-29,2023-04-01,2023-04-02,0,4,North,Delivered,Rail
14,18,2,Ekart,2023-09-20,2023-09-30,2023-09-25,0,5,North,Delivered,Van
15,19,3,DHL,2023-04-15,2023-04-18,2023-04-19,0,4,West,Delivered,Truck
16,21,8,DHL,2024-06-10,2024-06-20,2024-06-15,0,5,South,Delivered,Van
17,22,10,FedEx,2023-12-21,2023-12-26,2023-12-27,0,6,North,Delivered,Truck
18,23,2,DHL,2022-01-08,2022-01-16,2022-01-17,0,9,Central,Delivered,Air
19,24,4,Delhivery,2024-06-18,2024-06-23,2024-06-22,0,4,West,Delivered,Van
20,26,10,Delhivery,2024-02-23,2024-02-26,2024-02-26,0,3,North,Delivered,Air
21,27,2,FedEx,2022-02-07,2022-02-11,2022-02-14,0,7,South,Delivered,Air
22,31,1,DTDC,2022-11-12,2022-11-19,2022-11-28,1,16,East,Delivered,Van
23,32,9,DHL,2023-10-07,2023-10-13,2023-10-15,0,8,South,Delivered,Air
24,33,8,DHL,2024-05-18,2024-05-25,2024-05-24,0,6,North,Delivered,Rail
25,35,8,DTDC,2024-02-06,2024-02-14,2024-02-17,0,11,East,Delivered,Rail
26,36,8,FedEx,2024-07-20,2024-07-29,2024-07-28,0,8,West,Delivered,Truck
